,,,,2001|MegaCorp Tower — Lobby|neon_grid|A sterile white lobby with holographic receptionists. Security scanners line the entrance. Everything smells like money.||||||,2002|MegaCorp Tower — Elevator|neon_grid|A glass elevator shaft. The city sprawls below through the transparent floor. Going down feels like falling.||||||,,,,
,,,2003|Skybridge — West|neon_grid|A glass-enclosed bridge between towers. The city is a carpet of neon far below. Wind buffets the structure.||||||,2004|MegaCorp Tower — Server Floor|neon_grid|Rows of humming server racks stretch into darkness. The temperature is freezing. LEDs blink like stars.||||||,2005|MegaCorp Tower — Executive Suite|neon_grid|Minimalist luxury. A desk of polished obsidian faces a wall-sized window. The chair is still warm.||||||,2006|Rooftop Garden|neon_grid|A manicured garden atop a skyscraper. Real plants — a fortune's worth. A drone waters the orchids.||||||,,,
,,2007|Apartment Block — Hallway|neon_grid|A long corridor of identical doors. Flickering fluorescent lights. Someone is arguing behind door 47.||||||,2008|Skybridge — Center|neon_grid|The midpoint of the bridge. A homeless man has set up camp here with a cardboard sign: 'THE END IS LOADING.'||||||,2009|Transit Hub — Upper|neon_grid|A monorail station. Holographic schedules flicker. The next train arrives in 3 minutes. Or never.|safe|||||,"2010|Noodle Bar — 47th Floor|neon_grid|A tiny ramen shop crammed between office buildings. The chef is a robot. The noodles are perfect.|safe,indoors|||||",2011|Hacker's Den|neon_grid|A cluttered apartment filled with screens and cables. Energy drink cans form a small fortress.||||||,,,
,2012|Neon Street — West End|neon_grid|The street dead-ends at a concrete wall covered in graffiti. A fire escape leads up.||||||,2013|Neon Street — Market|neon_grid|Street vendors sell everything from bootleg chips to synthetic organs. No questions asked.|shop|||||,2014|Neon Street — Main|neon_grid|The main drag. Neon signs in every language compete for attention. Rain falls through holographic advertisements.||||||,"2015|Neon Street — Central|neon_grid|The busiest intersection. Crowds flow around you like water. A street preacher screams about the singularity. One of the public data terminals is cycling through corrupted output — streams of numbers that resolve briefly into a perfect sphere before dissolving back into static.||1229,1201||terminal:The terminal's display is locked in a loop. Frame by frame, the static assembles into the image of a perfect sphere — luminous, dense, impossibly detailed. Then it shatters back into noise. The terminal's error log shows a single entry - 'UNKNOWN OBJECT — MASS - UNDEFINED — TRAJECTORY - ALL DIRECTIONS SIMULTANEOUSLY.' Someone has scratched 'IT WAS HERE' into the casing.||","2016|Neon Street — East|neon_grid|The street narrows here. Cheaper establishments. A pawn shop, a clinic, a bar with no name.||||||","2017|Neon Street — Dead End|neon_grid|The street ends at a chain-link fence. Beyond it, the ruins of the old city. Something moves in the rubble.||||||",2018|The Ruins — Edge|neon_grid|Collapsed buildings from before the corporate takeover. Scavengers pick through the debris.||||||,,
,2019|Back Alley — West|neon_grid|A narrow alley between buildings. Dumpsters overflow. A cat with chrome eyes watches you.||||||,2020|The Byte Club|neon_grid|A underground fight club. Augmented fighters trade blows in a cage. The crowd roars.||||||,2021|Chrome Avenue — North|neon_grid|A wider street lined with body modification shops. Neon signs advertise the latest implants.||||||,2022|The Crossroads|neon_grid|A major intersection with a broken traffic light. It always shows red. Nobody stops anyway.||||||,"2023|Chrome Avenue — South|neon_grid|More mod shops, but seedier. Back-alley surgeons. 'Discount Augments — Only Slightly Used.'||||||",2024|Abandoned Warehouse|neon_grid|A cavernous space. Pigeons roost in the rafters. Tire tracks suggest recent vehicle activity.||||||,2025|The Ruins — Deep|neon_grid|Deeper into the collapsed old city. The ground is unstable. Feral dogs hunt in packs here.||||||,,
,,2026|Parking Garage — Level 1|neon_grid|A multi-story garage. Most vehicles are stripped shells. Oil stains mark where others once sat.||||||,2027|The Red Light District — North|neon_grid|Holographic dancers advertise clubs. The bass from inside shakes your chest. Everything is for sale.||||||,2028|The Red Light District — Center|neon_grid|The heart of the pleasure district. Sensory overload. Every vice has a neon sign.||||||,2029|The Red Light District — South|neon_grid|The district fades into darker territory. The establishments here don't advertise.||||||,2030|Junkyard — Gate|neon_grid|Mountains of discarded tech behind a chain-link fence. A guard dog — mechanical — patrols.||||||,,,
,2031|Sewer Access — West|neon_grid|A maintenance hatch leads down into the city's underbelly. The smell is indescribable.||||||,2032|Parking Garage — Basement|neon_grid|The lowest level. No lights work. Water drips from the ceiling. Perfect for an ambush.||||||,"2033|Underground Market|neon_grid|A black market operating in an old subway station. Illegal weapons, drugs, stolen data.|shop|||||","2034|The Undernet Cafe|neon_grid|A dingy cafe where hackers jack into the net. The coffee is terrible. The bandwidth is incredible.|safe,indoors|||||",2035|Clinic — Back Room|neon_grid|An unlicensed medical facility. The doctor has steady hands and no questions. Cash only.||||||,2036|Junkyard — Interior|neon_grid|Towers of scrap metal and dead electronics. Useful parts if you know what to look for.||||||,2037|Junkyard — Deep|neon_grid|The back of the junkyard. Something has built a nest here from car parts and wire.||||||,,
,,2038|Factory District — West|neon_grid|Smokestacks belch toxic fumes. Automated factories run 24/7. No workers needed.||||||,2039|Factory District — Center|neon_grid|The main factory floor visible through grimy windows. Robots assemble robots. Recursive manufacturing.||||||,2040|Factory District — East|neon_grid|Loading docks where autonomous trucks come and go. Crates stamped with corporate logos.||||||,2041|Power Plant — Exterior|neon_grid|A massive fusion reactor hums behind reinforced walls. Warning signs in twelve languages.||||||,2042|Power Plant — Interior|neon_grid|The reactor core glows blue-white. The heat is intense. Maintenance drones buzz around it.||||||,,,
,,2043|Waste Processing|neon_grid|Where the city's garbage goes to die. Conveyor belts sort recyclables. The rest gets incinerated.||||||,2044|Abandoned Lab|neon_grid|A corporate research facility. Cleared out in a hurry. Broken glass and scattered papers remain.||||||,2045|Abandoned Lab — Deep|neon_grid|The inner labs. Containment pods line the walls. Most are empty. Most.||||||,2046|Server Farm — Entrance|neon_grid|A nondescript building with massive cooling systems. The digital heart of the grid.||||||,2047|Server Farm — Core|neon_grid|The central processing hub. Petabytes of data flow through here every second. The AI lives here.||||||,,,
,,,2048|Highway — On-Ramp|neon_grid|A crumbling highway on-ramp. The road above is cracked and overgrown. No traffic anymore.||||||,2049|Highway — Overpass|neon_grid|The elevated highway. Abandoned vehicles rust in place. The city skyline glitters in the distance.||||||,2050|Highway — Off-Ramp|neon_grid|The highway descends back to ground level. A makeshift settlement of tarps and shipping containers.||||||,,,,
,,,2051|Shantytown — Edge|neon_grid|The corporate city ends here. Beyond is a sprawl of improvised shelters. The forgotten people.||||||,"2052|Shantytown — Center|neon_grid|A community built from scraps. Despite everything, children play and food is shared.||||||","2053|Shantytown — Market|neon_grid|A barter economy. People trade skills, food, and salvage. No credits accepted.|shop|||||",,,,
,,,"2054|The Wasteland — Edge|neon_grid|Beyond the shantytown, nothing. Irradiated ground from the old wars. Only the desperate go further.||||||","2055|The Wasteland — Bunker|neon_grid|A pre-war bunker, half-buried in toxic sand. The door is ajar. Someone has been here recently.||||||",,,,,
