,,,"8001|Training Grounds — Entrance|training_grounds|A large archway leads into a complex of training facilities. A sign reads: 'Push Beyond Your Limits.'|safe,train|||||",,,
,,"8002|Gravity Chamber — Lobby|training_grounds|A waiting area outside sealed chambers. Monitors display the gravity levels inside. Some show 100x.|safe,train|||||",8003|Gravity Chamber — 2x|training_grounds|The air feels heavy. Movement requires effort. A good starting point for gravity training.|train|||||,8004|Gravity Chamber — 10x|training_grounds|Every step is a struggle. Your body weighs ten times normal. Sweat pools on the floor instantly.|train|||||,8005|Gravity Chamber — 50x|training_grounds|Breathing is labor. Standing is triumph. The strongest warriors train here for minutes at a time.|train|||||,
,"8006|Obstacle Course — Start|training_grounds|A complex obstacle course stretches ahead. Walls to climb, pits to jump, targets to hit.|train|||||",8007|Obstacle Course — Mid|training_grounds|Swinging pendulums and balance beams. One wrong step and you start over.|train|||||,8008|Sparring Arena — Center|training_grounds|A large circular arena with padded floors. Training partners of various skill levels wait.|train|||||,8009|Sparring Arena — Advanced|training_grounds|The advanced ring. No padding. The partners here don't pull punches.|train|||||,8010|Meditation Chamber|training_grounds|A perfectly silent room. Cushions on the floor. The walls absorb all sound and distraction.|safe|||||,
,8011|Obstacle Course — End|training_grounds|The final stretch. Moving targets and timed gates. Your score is displayed on a board.|train|||||,8012|Weights Room|training_grounds|Racks of increasingly absurd weights. The heaviest ones have dents in the floor beneath them.|train|||||,"8013|Training Grounds — Central Hub|training_grounds|The main crossroads of the training complex. Paths lead to different specializations.|safe,train|||||",8014|Target Range|training_grounds|Ranged combat training. Targets at various distances. Some move. Some shoot back.|train|||||,8015|Elemental Chamber — Fire|training_grounds|A room where controlled flames test your resistance and reflexes. Don't stand still.|train|||||,
,,"8016|Endurance Track|training_grounds|A circular running track. The surface changes — sand, mud, ice, uphill. It never gets easier.|train|||||",8017|Combat Simulator|training_grounds|Holographic enemies appear and attack. Difficulty scales to your level. Defeat is non-lethal but painful.|train|||||,8018|Elemental Chamber — Ice|training_grounds|Sub-zero temperatures. Ice forms on everything. Train your body to resist the cold.|train|||||,8019|Elemental Chamber — Lightning|training_grounds|Electrical discharges arc between pylons. Dodge or endure. Both build strength.|train|||||,
,,"8020|Recovery Room|training_grounds|Healing pools and rest areas. Your body repairs faster here. Essential after intense training.|safe,train|||||","8021|The Gauntlet — Entrance|training_grounds|A door marked 'THE GAUNTLET.' Beyond it, the ultimate training challenge. Few complete it.|safe,train|||||",8022|The Gauntlet — Phase 1|training_grounds|Wave after wave of training constructs. They don't stop until you do.|train|||||,8023|The Gauntlet — Phase 2|training_grounds|Harder. Faster. The constructs adapt to your fighting style.|train|||||,
,,,8024|The Gauntlet — Phase 3|training_grounds|The final phase. A single opponent that matches your exact power level. Victory means growth.|train|||||,8025|Hall of Records|training_grounds|A wall of plaques showing the fastest Gauntlet completion times. Your name could be here.|train|||||,,
"101|Training Tower — Ground Floor|training_grounds|A wide stone chamber lit by torches. A weathered sign reads:\n\n  'Welcome, newcomer. This tower will teach you to survive.'\n  'Type ATTACK to fight. Type FLEE to escape. Type LOOK to observe.'\n\nA straw training dummy stands in the corner. Stairs lead up.||101||||up:102;down:10"
"102|Training Tower — Second Floor|training_grounds|The room is slightly darker. Scratching sounds come from the shadows.\n\n  Tip: After defeating an enemy, check your STATUS to see your power grow.\n  Type STATUS to view your stats.||102||||up:103;down:101"
103|Training Tower — Third Floor|training_grounds|Cobwebs stretch across the ceiling. Something skitters above.\n\n  Tip: You can TAKE items from rooms and USE consumables to heal.\n  Type INVENTORY to see what you're carrying.||103||||up:104;down:102
"104|Training Tower — Fourth Floor|training_grounds|A small armory. Weapon racks line the walls, mostly empty.\n\n  Tip: WEAR equipment to boost your attack and defense.\n  Type EQUIPMENT to see what you have equipped.|||110,111|||up:105;down:103"
"105|Training Tower — Fifth Floor|training_grounds|The air grows warmer. You hear growling from the shadows.\n\n  Tip: Your four core stats — Vigor, Precision, Grit, Instinct — grow\n  through combat. Take hits to build Grit. Land hits to build Precision.||105||||up:106;down:104"
"106|Training Tower — Sixth Floor|training_grounds|A rest alcove with a stone bench and a water basin.\n\n  Tip: Type REST to recover HP and Focus between fights.\n  Safe rooms (marked with a flag) prevent combat.|safe||104,105|||up:107;down:105"
107|Training Tower — Seventh Floor|training_grounds|Bones litter the floor. The walls are scratched with claw marks.\n\n  Tip: Stronger enemies give more power. Fight things near your level\n  for the best growth.||107||||up:108;down:106
108|Training Tower — Eighth Floor|training_grounds|A narrow corridor with arrow slits in the walls. You feel watched.\n\n  Tip: Some enemies are AGGRESSIVE and attack on sight.\n  Others are passive — you choose when to fight them.||108||||up:109;down:107
"109|Training Tower — Ninth Floor|training_grounds|A forge room. An anvil sits cold and unused, but the coals still glow faintly.\n\n  Tip: Visit MERCHANTS to buy and sell gear. Type SHOP near one.\n  The Bazaar in the Nexus has merchants.|||114,115|||up:110;down:108"
"110|Training Tower — Tenth Floor|training_grounds|The stairwell widens into a dueling ring. Torches blaze on all sides.\n\n  Tip: As you gain power, you'll unlock ABILITIES — special attacks\n  that cost Focus. Type the ability name to use it in combat.||110||||up:111;down:109"
111|Training Tower — Eleventh Floor|training_grounds|Wind howls through open windows. You can see the Nexus far below.\n\n  Tip: The BULLETIN BOARD in the Nexus offers quests.\n  Complete quests to earn Quest Points for the Quest Shop.||111||||up:112;down:110
"112|Training Tower — Twelfth Floor|training_grounds|A library of sorts. Dusty tomes line crumbling shelves.\n\n  Tip: SAY things to NPCs — they respond to keywords like\n  'hello', 'quest', 'help', 'buy', and 'lore'.||112||||up:113;down:111"
113|Training Tower — Thirteenth Floor|training_grounds|The walls pulse with a faint red glow. Something powerful waits above.\n\n  Tip: RECALL teleports you to your recall point (default: the Nexus).\n  Type SET RECALL in a safe room to change it.||113||||up:114;down:112
"114|Training Tower — Fourteenth Floor|training_grounds|A meditation chamber. Incense burns in brass holders.\n\n  Tip: The world beyond the Nexus is divided into themed zones.\n  Each gateway leads to a different genre — fantasy, sci-fi, noir, and more.\n  Explore them all, but beware: some zones are dangerous for the unprepared.|safe||108,109|||up:115;down:113"
"115|Training Tower — Summit|training_grounds|You stand at the top of the tower. The entire Nexus spreads below you, its six gateways glowing with different colors. A grizzled instructor leans against the parapet.\n\n  'You've made it to the top. You're ready for the real world now.'\n  'Head back down and explore the gateways. Your marble is out there somewhere.'||115,120||||down:114"
